source,target,weight
21.03.02 Землеустройство и кадастры,05.03.06 Экология и природопользование,1
21.05.02 Прикладная геология,05.03.06 Экология и природопользование,1
09.03.02 Информационные системы и технологии,09.03.01 Информатика и вычислительная техника,1
12.03.01 Приборостроение,09.03.01 Информатика и вычислительная техника,1
14.05.04 Электроника и автоматика физических установок,09.03.01 Информатика и вычислительная техника,1
15.03.04 Автоматизация технологических процессов и производств,09.03.01 Информатика и вычислительная техника,1
09.03.01 Информатика и вычислительная техника,09.03.02 Информационные системы и технологии,1
09.03.04 Программная инженерия,09.03.02 Информационные системы и технологии,1
13.03.02 Электроэнергетика и электротехника,09.03.02 Информационные системы и технологии,1
15.03.04 Автоматизация технологических процессов и производств,09.03.02 Информационные системы и технологии,1
03.03.02 Физика,09.03.03 Прикладная информатика,1
03.03.02 Физика,09.03.04 Программная инженерия,1
05.03.06 Экология и природопользование,09.03.04 Программная инженерия,1
14.03.02 Ядерные физика и технологии,09.03.04 Программная инженерия,1
21.03.01 Нефтегазовое дело,09.03.04 Программная инженерия,1
21.03.02 Землеустройство и кадастры,09.03.04 Программная инженерия,1
21.05.03 Технология геологической разведки,09.03.04 Программная инженерия,1
15.03.01 Машиностроение,12.03.01 Приборостроение,1
20.03.01 Техносферная безопасность,12.03.01 Приборостроение,1
200100 Приборостроение,12.03.01 Приборостроение,1
01.03.02 Прикладная математика и информатика,12.03.02 Оптотехника,1
11.03.04 Электроника и наноэлектроника,12.03.02 Оптотехника,1
19.03.01 Биотехнология,12.03.02 Оптотехника,1
12.03.01 Приборостроение,12.03.04 Биотехнические системы и технологии,1
15.03.06 Мехатроника и робототехника,12.03.04 Биотехнические системы и технологии,1
18.03.01 Химическая технология,12.03.04 Биотехнические системы и технологии,1
19.03.01 Биотехнология,12.03.04 Биотехнические системы и технологии,1
13.03.02 Электроэнергетика и электротехника,13.03.01 Теплоэнергетика и теплотехника,1
21.03.01 Нефтегазовое дело,13.03.01 Теплоэнергетика и теплотехника,1
11.03.04 Электроника и наноэлектроника,13.03.02 Электроэнергетика и электротехника,1
14.05.04 Электроника и автоматика физических установок,13.03.02 Электроэнергетика и электротехника,1
15.03.04 Автоматизация технологических процессов и производств,13.03.02 Электроэнергетика и электротехника,1
15.03.06 Мехатроника и робототехника,13.03.02 Электроэнергетика и электротехника,1
38.03.01 Экономика,13.03.02 Электроэнергетика и электротехника,1
03.03.02 Физика,14.03.02 Ядерные физика и технологии,1
15.03.04 Автоматизация технологических процессов и производств,"14.05.02 Атомные станции: проектирование, эксплуатация и инжиниринг",1
12.03.01 Приборостроение,15.03.01 Машиностроение,1
13.03.01 Теплоэнергетика и теплотехника,15.03.01 Машиностроение,1
14.05.04 Электроника и автоматика физических установок,15.03.01 Машиностроение,1
20.03.01 Техносферная безопасность,15.03.01 Машиностроение,1
21.05.02 Прикладная геология,15.03.01 Машиностроение,1
03.03.02 Физика,15.03.02 Технологические машины и оборудование,1
12.03.04 Биотехнические системы и технологии,15.03.04 Автоматизация технологических процессов и производств,1
13.03.03 Энергетическое машиностроение,15.03.04 Автоматизация технологических процессов и производств,1
14.05.04 Электроника и автоматика физических установок,15.03.04 Автоматизация технологических процессов и производств,1
21.05.02 Прикладная геология,15.03.04 Автоматизация технологических процессов и производств,1
11.03.04 Электроника и наноэлектроника,15.03.06 Мехатроника и робототехника,1
12.03.02 Оптотехника,15.03.06 Мехатроника и робототехника,1
14.03.02 Ядерные физика и технологии,15.03.06 Мехатроника и робототехника,1
15.03.01 Машиностроение,15.03.06 Мехатроника и робототехника,1
13.03.01 Теплоэнергетика и теплотехника,18.03.01 Химическая технология,1
15.03.01 Машиностроение,18.03.01 Химическая технология,1
15.03.02 Технологические машины и оборудование,18.03.01 Химическая технология,1
38.03.01 Экономика,18.03.01 Химическая технология,1
12.03.02 Оптотехника,18.05.02 Химическая технология материалов современной энергетики,1
13.03.03 Энергетическое машиностроение,18.05.02 Химическая технология материалов современной энергетики,1
21.03.01 Нефтегазовое дело,18.05.02 Химическая технология материалов современной энергетики,1
21.05.02 Прикладная геология,18.05.02 Химическая технология материалов современной энергетики,1
12.03.02 Оптотехника,19.03.01 Биотехнология,1
14.03.02 Ядерные физика и технологии,19.03.01 Биотехнология,1
15.03.01 Машиностроение,19.03.01 Биотехнология,1
03.03.02 Физика,20.03.01 Техносферная безопасность,1
12.03.02 Оптотехника,20.03.01 Техносферная безопасность,1
12.03.04 Биотехнические системы и технологии,20.03.01 Техносферная безопасность,1
13.03.01 Теплоэнергетика и теплотехника,20.03.01 Техносферная безопасность,1
15.03.02 Технологические машины и оборудование,20.03.01 Техносферная безопасность,1
15.03.06 Мехатроника и робототехника,20.03.01 Техносферная безопасность,1
12.03.02 Оптотехника,21.03.01 Нефтегазовое дело,1
15.03.01 Машиностроение,21.03.01 Нефтегазовое дело,1
15.03.02 Технологические машины и оборудование,21.03.01 Нефтегазовое дело,1
18.03.01 Химическая технология,21.03.01 Нефтегазовое дело,1
20.03.01 Техносферная безопасность,21.03.01 Нефтегазовое дело,1
22.03.01 Материаловедение и технологии материалов,21.03.01 Нефтегазовое дело,1
27.03.02 Управление качеством,21.03.01 Нефтегазовое дело,1
01.03.02 Прикладная математика и информатика,21.03.02 Землеустройство и кадастры,1
05.03.06 Экология и природопользование,21.03.02 Землеустройство и кадастры,1
18.03.01 Химическая технология,21.03.02 Землеустройство и кадастры,1
03.03.02 Физика,21.05.02 Прикладная геология,1
05.03.06 Экология и природопользование,21.05.02 Прикладная геология,1
12.03.04 Биотехнические системы и технологии,21.05.02 Прикладная геология,1
13.03.01 Теплоэнергетика и теплотехника,21.05.02 Прикладная геология,1
13.03.02 Электроэнергетика и электротехника,21.05.02 Прикладная геология,1
21.03.01 Нефтегазовое дело,21.05.02 Прикладная геология,1
21.05.04 Горное дело,21.05.02 Прикладная геология,1
13.03.02 Электроэнергетика и электротехника,21.05.03 Технология геологической разведки,1
21.03.02 Землеустройство и кадастры,21.05.03 Технология геологической разведки,1
21.05.02 Прикладная геология,21.05.03 Технология геологической разведки,1
18.03.01 Химическая технология,21.05.04 Горное дело,1
20.03.01 Техносферная безопасность,21.05.04 Горное дело,1
12.03.02 Оптотехника,22.03.01 Материаловедение и технологии материалов,1
14.03.02 Ядерные физика и технологии,22.03.01 Материаловедение и технологии материалов,1
14.05.04 Электроника и автоматика физических установок,22.03.01 Материаловедение и технологии материалов,1
15.03.01 Машиностроение,22.03.01 Материаловедение и технологии материалов,1
15.03.06 Мехатроника и робототехника,22.03.01 Материаловедение и технологии материалов,1
19.03.01 Биотехнология,22.03.01 Материаловедение и технологии материалов,1
22.03.02 Металлургия,22.03.01 Материаловедение и технологии материалов,1
15.03.01 Машиностроение,22.03.02 Металлургия,1
09.03.02 Информационные системы и технологии,27.03.02 Управление качеством,1
15.03.04 Автоматизация технологических процессов и производств,27.03.02 Управление качеством,1
09.03.01 Информатика и вычислительная техника,27.03.05 Инноватика,1
12.03.01 Приборостроение,27.03.05 Инноватика,1
12.03.02 Оптотехника,27.03.05 Инноватика,1
